,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId,geometry,neighborhood
302,C23109,Cedar Grove T Stop,42.2796076,-71.0602212,Boston,Yes,18,303,POINT (-71.0602212 42.2796076),Dorchester
305,A32041,Central Square East Boston,42.37544913,-71.03918549,Boston,Yes,15,306,POINT (-71.03918549 42.37544913),East Boston
307,C32086,Centre St at Parkway YMCA,42.28277901,-71.15728851,Boston,Yes,17,308,POINT (-71.15728851 42.28277901),West Roxbury
308,C32085,Centre St at W. Roxbury Post Office,42.28633199,-71.15344755,Boston,Yes,19,309,POINT (-71.15344755 42.28633199),West Roxbury
310,D32016,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,Boston,Yes,19,311,POINT (-71.07118962 42.36079297),Beacon Hill
311,D32039,Charlestown Navy Yard,42.37412455,-71.054812,Boston,Yes,23,312,POINT (-71.054812 42.37412455),Charlestown
316,D32015,Chinatown Gate Plaza,42.351356,-71.059367,Boston,Yes,19,317,POINT (-71.059367 42.351356),Chinatown
317,D32019,Chinatown T Stop,42.352409,-71.062679,Boston,Yes,19,318,POINT (-71.062679 42.352409),Downtown
321,A32056,Riverway at Brookline Ave,42.33661006,-71.1100468,Boston,Yes,25,322,POINT (-71.1100468 42.33661006),Longwood
323,C32047,Roslindale Village - South St,42.287072,-71.127754,Boston,Yes,15,324,POINT (-71.127754 42.287072),Roslindale
324,C32046,Roslindale Village - Washington St,42.28630716,-71.12820532,Boston,Yes,15,325,POINT (-71.12820532 42.28630716),Roslindale
325,E32014,Ross Playground,42.2645666,-71.1145523,Boston,Yes,19,326,POINT (-71.1145523 42.2645666),Hyde Park
326,D32008,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Boston,Yes,15,327,POINT (-71.050699 42.357143),Downtown
327,C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Boston,Yes,23,328,POINT (-71.095171 42.331184),Roxbury
328,B32022,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,Boston,Yes,10,329,POINT (-71.08243078 42.31787329),Roxbury
329,B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,Boston,Yes,26,330,POINT (-71.08798563 42.33624445),Roxbury
330,E32007,S Huntington Ave at Heath St,42.32760387,-71.1108917,Boston,Yes,15,331,POINT (-71.1108917 42.32760387),Jamaica Plain
334,C32033,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,Boston,Yes,14,335,POINT (-71.0539 42.3106),Dorchester
335,C32036,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,Boston,Yes,15,336,POINT (-71.04817357 42.35317809),South Boston Waterfront
336,B32014,Seaport Hotel - Congress St at Seaport Ln,42.34881026,-71.04167744,Boston,Yes,19,337,POINT (-71.04167744 42.34881026),South Boston Waterfront
337,B32007,Seaport Square - Seaport Blvd at Northern Ave,42.35148193,-71.04436085,Boston,Yes,23,338,POINT (-71.04436085 42.35148193),South Boston Waterfront
339,D32059,Shawmut Ave at Lenox St,42.33584613,-71.08038157,Boston,Yes,19,340,POINT (-71.08038157 42.33584613),Roxbury
340,D32048,Shawmut Ave at Oak St W,42.34854543,-71.06559185,Boston,Yes,15,341,POINT (-71.06559185 42.34854543),Chinatown
341,E32009,Shawmut T Stop,42.292917,-71.06575,Boston,Yes,19,342,POINT (-71.06575 42.292917),Dorchester
344,D32032,Silber Way,42.349496,-71.10057592,Boston,Yes,19,345,POINT (-71.10057592 42.349496),Fenway
346,A32006,Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757,Boston,Yes,15,347,POINT (-71.1182757 42.36426344),Allston
351,C32017,South Boston Library - 646 E Broadway,42.335741,-71.03877,Boston,Yes,15,352,POINT (-71.03877 42.335741),South Boston
352,A32009,South End Library - Tremont St at W Newton St,42.341332,-71.076847,Boston,Yes,15,353,POINT (-71.076847 42.341332),South End
