"Common Name","Scientific Name","Scientific Name_url","Entity Description","ESA Listing Date","Delisting Date","Delisting Reason","Foreign or Domestic","Lead Agency"
"Okaloosa darter","Etheostoma okaloosae","https://ecos.fws.gov/ecp/species/914","Wherever found","06-04-1973","07-29-2023","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Eastern puma (=cougar)","Puma (=Felis) concolor couguar","https://ecos.fws.gov/ecp/species/441","Wherever found","06-04-1973","01-23-2018","Species is extinct","Both Domestic and Foreign","FWS"
"Santa Barbara Song Sparrow","Melospiza melodia graminea","https://ecos.fws.gov/ecp/species/5513","Wherever found","06-04-1973","10-12-1983","Species is extinct","Domestic","FWS"
"Scarlet-chested parakeet","Neophema splendida","https://ecos.fws.gov/ecp/species/5711","Wherever found","12-02-1970","05-05-2017","Species does not meet the definition of an endangered species or a threatened species - Recovered","Foreign","FWS"
"Tecopa pupfish","Cyprinodon nevadensis calidae","https://ecos.fws.gov/ecp/species/1378","Wherever found","10-13-1970","01-15-1982","Species is extinct","Domestic","FWS"
"Molokai creeper","Paroreomyza flammea","https://ecos.fws.gov/ecp/species/2190","Wherever found","10-13-1970","11-16-2023","Species is extinct","Domestic","FWS"
"Maui akepa","Loxops ochraceus","https://ecos.fws.gov/ecp/species/1922","Wherever found","10-13-1970","11-16-2023","Species is extinct","Domestic","FWS"
"Large Kauai (=kamao) Thrush","Myadestes myadestinus","https://ecos.fws.gov/ecp/species/4104","Wherever found","10-13-1970","11-16-2023","Species is extinct","Domestic","FWS"
"Maui nukupuu","Hemignathus affinis","https://ecos.fws.gov/ecp/species/10491","Wherever found","10-13-1970","11-16-2023","Species is extinct","Domestic","FWS"
"Palau ground dove","Gallicolumba canifrons","https://ecos.fws.gov/ecp/species/4242","Wherever found","06-02-1970","09-12-1985","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","FWS"
"Humpback whale","Megaptera novaeangliae","https://ecos.fws.gov/ecp/species/7720","Gabon/Southwest Africa DPS","06-02-1970","10-11-2016","Species does not meet the definition of an endangered species or a threatened species - Recovered","Foreign","NMFS"
"Tinian Monarch (old world flycatcher)","Monarcha takatsukasae","https://ecos.fws.gov/ecp/species/6613","Wherever found","06-02-1970","09-21-2004","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Palau fantail flycatcher","Rhipidura lepida","https://ecos.fws.gov/ecp/species/3073","Wherever found","06-02-1970","09-12-1985","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","FWS"
"Morelet's crocodile","Crocodylus moreletii","https://ecos.fws.gov/ecp/species/1107","Wherever found","06-02-1970","05-23-2012","Species does not meet the definition of an endangered species or a threatened species - Recovered","Foreign","FWS"
"American peregrine falcon","Falco peregrinus anatum","https://ecos.fws.gov/ecp/species/8483","Wherever found","06-02-1970","08-25-1999","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","FWS"
"Palau Owl","Pyrroglaux podargina","https://ecos.fws.gov/ecp/species/3508","Wherever found","06-02-1970","09-12-1985","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","FWS"
"Humpback whale","Megaptera novaeangliae","https://ecos.fws.gov/ecp/species/7720","West Indies DPS","06-02-1970","10-11-2016","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","NMFS"
"Humpback whale","Megaptera novaeangliae","https://ecos.fws.gov/ecp/species/7720","Hawaii DPS","06-02-1970","10-11-2016","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","NMFS"
"Humpback whale","Megaptera novaeangliae","https://ecos.fws.gov/ecp/species/7720","Brazil DPS","06-02-1970","10-11-2016","Species does not meet the definition of an endangered species or a threatened species - Recovered","Foreign","NMFS"
"Humpback whale","Megaptera novaeangliae","https://ecos.fws.gov/ecp/species/7720","Southeast Africa/Madagascar DPS","06-02-1970","10-11-2016","Species does not meet the definition of an endangered species or a threatened species - Recovered","Foreign","NMFS"
"Humpback whale","Megaptera novaeangliae","https://ecos.fws.gov/ecp/species/7720","West Australia DPS","06-02-1970","10-11-2016","Species does not meet the definition of an endangered species or a threatened species - Recovered","Foreign","NMFS"
"Humpback whale","Megaptera novaeangliae","https://ecos.fws.gov/ecp/species/7720","East Australia DPS","06-02-1970","10-11-2016","Species does not meet the definition of an endangered species or a threatened species - Recovered","Foreign","NMFS"
"Humpback whale","Megaptera novaeangliae","https://ecos.fws.gov/ecp/species/7720","Oceania DPS","06-02-1970","10-11-2016","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","NMFS"
"Humpback whale","Megaptera novaeangliae","https://ecos.fws.gov/ecp/species/7720","Southeastern Pacific DPS","06-02-1970","10-11-2016","Species does not meet the definition of an endangered species or a threatened species - Recovered","Foreign","NMFS"
"Turquoise parakeet","Neophema pulchella","https://ecos.fws.gov/ecp/species/2046","Wherever found","06-02-1970","05-05-2017","Species does not meet the definition of an endangered species or a threatened species - Recovered","Foreign","FWS"
"Brown Pelican","Pelecanus occidentalis","https://ecos.fws.gov/ecp/species/6034","Wherever found, except U.S. Atlantic coast, FL, AL","06-02-1970","12-17-2009","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","FWS"
"Arctic peregrine Falcon","Falco peregrinus tundrius","https://ecos.fws.gov/ecp/species/7954","Wherever found","06-02-1970","10-05-1994","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","FWS"
"Brown Pelican","Pelecanus occidentalis","https://ecos.fws.gov/ecp/species/6034","U.S. Atlantic coast, FL, AL","06-02-1970","02-04-1985","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","FWS"
"Kauai akialoa (honeycreeper)","Akialoa stejnegeri","https://ecos.fws.gov/ecp/species/1119","Wherever found","03-11-1967","11-16-2023","Species is extinct","Domestic","FWS"
"Kauai `o`o (honeyeater)","Moho braccatus","https://ecos.fws.gov/ecp/species/5526","Wherever found","03-11-1967","11-16-2023","Species is extinct","Domestic","FWS"
"Kirtland's Warbler","Setophaga kirtlandii","https://ecos.fws.gov/ecp/species/8078","Wherever found","03-11-1967","11-08-2019","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","FWS"
"Dusky seaside sparrow","Ammodramus maritimus nigrescens","https://ecos.fws.gov/ecp/species/1","Wherever found","03-11-1967","12-12-1990","Species is extinct","Domestic","FWS"
"Bachman's warbler (=wood)","Vermivora bachmanii","https://ecos.fws.gov/ecp/species/3232","Wherever found","03-11-1967","11-16-2023","Species is extinct","Both Domestic and Foreign","FWS"
